"GPA","Number_Of_Professional_Connections","Major","Graduation_Year","Height","Number_Of_Credits","Number_Of_Parking_Tickets","HP","GC","predEarnings"
2.61,2,"STEM",1964,67.42,124,2,134.84,243536,9738.93237714286
2.24,8,"STEM",1996,65.76,122,4,526.08,243512,9775.17631718368
2.21,0,"STEM",1978,67.76,120,0,0,237360,9777.07039523807
2.45,18,"STEM",1963,70.77,122,2,1273.86,239486,9751.7866433741
1.91,6,"STEM",2013,66.58,120,2,399.48,241560,9801.54187081632
2.51,37,"STEM",1993,69.72,121,0,2579.64,241153,9748.46048585436
2.67,13,"STEM",1971,65.7,124,0,854.1,244404,9735.75696428571
2.64,1,"STEM",1993,70.01,125,2,70.01,249125,9739.16670428572
3.3,6,"STEM",1974,66.43,124,0,398.58,244776,9673.63506904761
2.52,26,"STEM",2010,69.86,121,0,1816.36,243210,9748.64097331351
2.63,1,"STEM",1962,66.29,124,0,66.29,243288,9736.93467499999
2.03,8,"STEM",1993,67.61,121,2,540.88,241153,9797.89007857143
2.29,46,"STEM",1997,67.49,120,1,3104.54,239640,9771.64363714285
2.73,5,"STEM",1991,66.98,123,2,334.9,244893,9729.04939285715
2.33,9,"STEM",1993,68.14,120,0,613.26,239160,9766.06010125849
3.06,27,"STEM",2004,71.76,123,2,1937.52,246492,9693.7148166667
2.75,9,"STEM",1966,69.35,123,0,624.15,241818,9730.04091442574
3.09,13,"STEM",1987,67.06,120,3,871.78,238440,9693.19400714287
2.38,24,"STEM",2013,67.82,124,1,1627.68,249612,9760.31946939851
2.36,18,"STEM",1985,69.2,121,0,1245.6,240185,9763.44653211282
3.11,21,"STEM",2000,66.01,123,0,1386.21,246000,9690.02836030535
2.25,18,"STEM",1966,65.31,121,0,1175.58,237886,9775.29739285714
2.24,13,"STEM",1969,67.56,121,1,878.28,238249,9776.82731142857
2.24,3,"STEM",1988,67.43,123,0,202.29,244524,9774.43520238098
2.61,25,"STEM",1965,66.36,122,1,1659,239730,9738.12500051702
1.95,9,"STEM",1990,67.19,121,0,604.71,240790,9803.87932857146
2.5,43,"STEM",1986,65.93,122,2,2834.99,242292,9749.24008432654
2.5,4,"STEM",1985,68.63,123,1,274.52,244155,9748.62985000001
1.97,21,"STEM",1969,64.86,125,2,1362.06,246125,9795.41910714288
2.67,49,"STEM",2006,67.49,123,1,3307.01,246738,9730.1035404762
1.64,50,"STEM",1993,67.03,122,0,3351.5,243146,9837.90765289797
2.67,3,"STEM",1987,70.23,122,1,210.69,242414,9738.41028146937
2.85,2,"STEM",1974,69.83,120,1,139.66,236880,9714.2864563492
2.68,40,"STEM",1995,67,123,1,2680,245385,9732.96197142857
2.59,32,"STEM",1973,69.53,121,0,2224.96,238733,9738.6916572829
2.69,4,"STEM",1982,74.62,121,0,298.48,239822,9736.4461328572
2.06,2,"STEM",2011,67.15,120,1,134.3,241320,9789.54950510206
2.29,23,"STEM",1979,67.7,120,3,1557.1,237480,9769.08762377288
2.54,0,"STEM",1990,65.9,120,0,0,238800,9749.73905558959
3.43,27,"STEM",1996,68.55,125,2,1850.85,249500,9669.41000714289
2.59,8,"STEM",1969,66.22,121,4,529.76,238249,9743.12798000002
2.53,25,"STEM",1983,67.03,121,4,1675.75,239943,9747.38083285715
3.08,4,"STEM",2005,69.25,121,1,277,242605,9696.23603809524
2.5,5,"STEM",1968,71.94,120,5,359.7,236160,9745.76955329671
2.63,2,"STEM",2003,69.99,121,0,139.98,242363,9738.45319631071
1.49,41,"STEM",2012,71.03,124,0,2912.23,249488,9839.00055000002
2.77,0,"STEM",2014,66.87,122,1,0,245708,9724.65862670749
2.18,58,"STEM",1968,64.28,121,0,3728.24,238128,9781.15189523811
3,14,"STEM",1994,63.79,121,3,893.06,241274,9705.24681777214
2.3,5,"STEM",2001,71.07,121,0,355.35,242121,9768.55964950396
2.59,23,"STEM",1994,67.44,121,1,1551.12,241274,9742.38550968867
2.78,14,"STEM",2006,70.27,121,1,983.78,242726,9721.10140714289
2.23,19,"STEM",1986,66.29,122,3,1259.51,242292,9775.07871718369
2.88,3,"STEM",1974,66.51,122,0,199.53,240828,9715.35438507123
2.1,2,"STEM",1975,65.96,123,1,131.92,242925,9779.90310000002
1.77,2,"STEM",1969,67.37,120,1,134.74,236280,9819.83645714284
1.88,9,"STEM",1969,64.55,120,1,580.95,236280,9807.08025952383
1.9,5,"STEM",2010,66.16,121,0,330.8,243210,9807.94353521824
2.37,9,"STEM",2011,68.1,121,1,612.9,243331,9765.12940011278
2.59,8,"STEM",1966,69.12,125,1,552.96,245750,9740.21551428572
2.69,121,"STEM",1993,67.85,120,1,8209.85,239160,9781.86203095239
2.74,12,"STEM",2013,70.54,121,0,846.48,243573,9731.34893164684
2.23,18,"STEM",1982,68.5,122,2,1233,241804,9778.16520289796
2.19,45,"STEM",2008,64.47,121,1,2901.15,242968,9779.39692571431
2.54,3,"STEM",1992,71.63,124,0,214.89,247008,9745.1512357143
2.66,18,"STEM",1992,70.61,122,1,1270.98,243024,9735.97301718368
2.02,0,"STEM",1983,68.75,121,0,0,239943,9795.65796142855
2.18,30,"STEM",1977,66.82,121,0,2004.6,239217,9782.64036785714
2.41,2,"STEM",1978,67.95,121,1,135.9,239338,9754.60452892855
1.63,24,"STEM",1967,70.67,122,2,1696.08,239974,9830.10879337415
2.63,30,"STEM",2005,66.03,120,3,1980.9,240600,9736.47496428571
2.11,24,"STEM",1976,68.65,121,1,1647.6,239096,9789.95393796991
2.45,38,"STEM",2015,66.63,122,1,2531.94,245830,9754.53864861224
2.52,15,"STEM",1971,65.97,122,2,989.55,240462,9746.91587194557
2.11,30,"STEM",1971,69.69,123,0,2090.7,242433,9790.31317142853
3.19,3,"STEM",1986,68.13,121,4,204.39,240306,9691.66952729593
2.78,18,"STEM",1968,68.14,122,3,1226.52,240096,9722.08516242176
2.64,4,"STEM",1970,67.26,123,0,269.04,242310,9735.83780714284
2.17,2,"STEM",2000,66.4,121,0,132.8,242000,9775.31243521826
2.26,12,"STEM",1986,70.08,123,3,840.96,244278,9772.98842857142
1.64,14,"STEM",2003,70.99,123,0,993.86,246369,9826.86854285712
2.11,29,"STEM",1982,64.8,121,1,1879.2,239822,9788.70543154763
2.35,26,"STEM",2009,65.75,126,0,1709.5,253134,9761.03587093253
2.28,0,"STEM",1978,66.06,123,4,0,243294,9765.38710000001
2.74,3,"STEM",1974,68.48,121,1,205.44,238854,9725.86287023808
2.83,5,"STEM",2005,65.8,121,4,329,242605,9718.63694158163
1.84,26,"STEM",1974,67.7,124,0,1760.2,244776,9814.37809999998
1.75,1,"STEM",1995,68.23,121,0,68.23,241395,9818.71389999998
2.3,29,"STEM",1977,67.7,122,1,1963.3,241194,9770.45619086788
2.33,3,"STEM",2007,69.01,122,0,207.03,244854,9765.01815954476
3.05,53,"STEM",1962,65.94,124,2,3494.82,243288,9702.30299285713
2.95,9,"STEM",2015,68.78,124,1,619.02,249860,9710.17843857145
2.31,36,"STEM",1991,70.35,123,1,2532.6,244893,9770.53101177945
2.55,5,"STEM",1973,68.23,120,3,341.15,236760,9744.44614615386
2.57,44,"STEM",1970,67.5,120,1,2970,236400,9740.40946543958
2.85,1,"STEM",1975,69.28,125,0,69.28,246875,9718.62755761903
2.78,61,"STEM",1989,66.27,122,0,4042.47,242658,9726.18223956462
2.66,15,"STEM",1999,66.89,120,0,1003.35,239880,9735.01933219104
1.89,34,"STEM",1998,66.32,121,1,2254.88,241758,9810.68360714287
2.49,9,"STEM",2004,66.93,128,0,602.37,256512,9749.48912093253
2.01,14,"STEM",1972,67.22,124,6,941.08,244528,9798.93948571431
2.26,40,"STEM",2011,69.26,124,0,2770.4,249364,9771.636899504
3.43,26,"STEM",1970,69.64,127,1,1810.64,250190,9674.32395
2.79,21,"STEM",1977,66.27,121,0,1391.67,239217,9720.15171539116
2.49,1,"STEM",1991,69.12,120,1,69.12,238920,9748.94241845239
2.07,4,"STEM",2003,67.84,121,0,271.36,242363,9787.6762780754
2.37,1,"STEM",1963,67.85,120,1,67.85,235560,9765.06350488403
2.57,10,"STEM",1982,67.63,121,0,676.3,239822,9742.92125768709
2.34,2,"STEM",1965,69.78,129,0,139.56,253485,9760.7702857143
3.46,14,"STEM",1992,70.65,121,0,989.1,241032,9661.15022857143
2.62,5,"STEM",1977,66.46,122,0,332.3,241194,9740.49922789796
2.57,7,"STEM",2007,67.3,122,0,471.1,244854,9741.07714321826
2.48,39,"STEM",1994,70.13,120,1,2735.07,239280,9749.89787857146
1.93,55,"STEM",1980,72.41,121,0,3982.55,239580,9799.41979714285
2.44,10,"STEM",2002,67.75,122,1,677.5,244244,9755.30759849319
2.67,21,"STEM",1966,62.33,123,0,1308.93,241818,9740.35917857143
2.55,9,"STEM",1985,68.47,121,1,616.23,240185,9742.76131897439
3.02,39,"STEM",1998,67.29,122,0,2624.31,243756,9699.69484891762
3.33,18,"STEM",2004,70.15,122,0,1262.7,244488,9675.28950367951
2.73,28,"STEM",1969,67.82,123,0,1898.96,242187,9726.21826190475
2.28,2,"STEM",1976,68.39,121,1,136.78,239096,9771.17282571427
2.46,12,"STEM",1979,70.53,120,1,846.36,237480,9749.96766334569
3.03,21,"STEM",1989,67.21,121,3,1411.41,240669,9701.28632491499
2.19,26,"STEM",2005,69,120,0,1794,240600,9778.95889236112
2.81,24,"STEM",2004,69.27,121,1,1662.48,242484,9721.57275000001
2.11,64,"STEM",1967,70.14,121,0,4488.96,238007,9785.13845595237
1.23,3,"STEM",1997,66.14,125,0,198.42,249625,9852.03309285712
2.27,13,"STEM",1986,71.75,121,0,932.75,240306,9774.89974999999
2.44,2,"STEM",2009,69.18,128,1,138.36,257152,9752.13726130951
3.01,56,"STEM",1999,68.86,124,1,3856.16,247876,9702.71171785716
2.87,17,"STEM",1961,65.97,123,1,1121.49,241203,9717.25400510203
2.65,9,"STEM",1985,66.32,120,2,596.88,238200,9731.90079761906
1.79,12,"STEM",2002,67.72,125,2,812.64,250250,9813.8730785714
1.82,23,"STEM",1993,68.11,120,1,1566.53,239160,9812.81465939849
2.51,9,"STEM",1974,68.4,121,1,615.6,238854,9744.70134945056
2.94,34,"STEM",1988,67.75,124,1,2303.5,246512,9708.65063214288
1.99,17,"STEM",1963,67.16,121,3,1141.72,237523,9798.08308333336
1.94,5,"STEM",2000,67.33,122,2,336.65,244000,9800.1547957551
1.97,25,"STEM",2011,69.42,120,0,1735.5,241320,9794.26103378966
2.71,10,"STEM",1982,66.07,125,1,660.7,247750,9734.30721904762
2.61,2,"Humanities",1980,69.08,123,2,138.16,243540,10262.6124428571
1.81,12,"Humanities",2013,70.64,128,1,847.68,257664,10190.0727247619
2.16,5,"Humanities",1974,68.05,124,1,340.25,244776,10217.9206657143
2.5,23,"Humanities",1980,68.25,122,1,1569.75,241560,10247.0230277056
2.32,17,"Humanities",1987,69.73,123,0,1185.41,244401,10234.504055348
3.29,84,"Humanities",1971,67.77,120,0,5692.68,236520,10314.2835428572
3.02,0,"Humanities",1972,68.22,120,2,0,236640,10295.3093428572
2.47,18,"Humanities",1999,69.93,126,1,1258.74,251874,10247.9492666667
2.14,39,"Humanities",2009,71.78,123,1,2799.42,247107,10213.50826
2.73,12,"Humanities",2015,68.43,121,1,821.16,243815,10276.4056714286
1.75,44,"Humanities",2002,67.66,125,0,2977.04,250250,10179.5971214286
2.73,10,"Humanities",2002,67.34,123,1,673.4,246246,10273.2241214286
2.92,4,"Humanities",1987,74.42,121,2,297.68,240427,10291.5568392857
2.14,0,"Humanities",1968,68.6,120,1,0,236160,10218.7016557142
2.94,42,"Humanities",1984,67.34,121,0,2828.28,240064,10292.4153285714
1.7,43,"Humanities",1993,66.6,122,0,2863.8,243146,10172.1106361905
2.52,3,"Humanities",1969,71.32,124,1,213.96,244156,10254.7544714286
2.69,8,"Humanities",2001,65,122,3,520,244122,10268.7105714286
2.64,1,"Humanities",1981,64.66,121,1,64.66,239701,10260.9059813187
2.31,45,"Humanities",1999,66.79,121,0,3005.55,241879,10233.1115042857
2.69,12,"Humanities",1996,65.81,120,0,789.72,239520,10267.8015103175
2.69,12,"Humanities",1973,70.89,121,1,850.68,238733,10268.8513607143
2.56,20,"Humanities",1988,67.54,121,1,1350.8,240548,10252.0160171428
2.06,34,"Humanities",2011,68.17,121,1,2317.78,243331,10210.3216409524
2.95,2,"Humanities",1991,67.2,120,0,134.4,238920,10286.2723513265
3.14,17,"Humanities",1989,70.31,126,0,1195.27,250614,10304.2564428572
3.63,21,"Humanities",1989,69.54,120,0,1460.34,238680,10359.3381571428
1.96,20,"Humanities",1963,63.94,120,0,1278.8,235560,10208.5531152443
2.86,105,"Humanities",2010,66.11,121,3,6941.55,243210,10282.1425
2.09,37,"Humanities",1984,64.76,121,1,2396.12,240064,10204.7694432235
2.94,1,"Humanities",1991,69.73,120,0,69.73,238920,10287.5069690476
2.86,10,"Humanities",2006,70.03,124,4,700.3,248744,10284.467
1.97,5,"Humanities",2011,69.69,121,2,348.45,243331,10200.1111639455
2.31,7,"Humanities",1981,71.82,120,1,502.74,237720,10234.9293178571
2.23,23,"Humanities",1987,66.63,124,0,1532.49,246388,10226.8290857143
2.84,52,"Humanities",2007,65.85,121,0,3424.2,242847,10278.7454531746
3.31,13,"Humanities",1993,66.92,120,1,869.96,239160,10326.0638129438
2,12,"Humanities",1970,69.71,121,1,836.52,238370,10204.6322766667
2.42,23,"Humanities",1997,67.32,122,1,1548.36,243634,10236.61175
2.36,42,"Humanities",1988,66.22,124,2,2781.24,246512,10237.5780571429
3.55,3,"Humanities",1985,68.39,121,0,205.17,240185,10350.2144285714
2,2,"Humanities",1978,68.32,120,0,136.64,237360,10201.6973284415
2.53,118,"Humanities",2004,68.17,121,0,8044.06,242484,10260.3925554671
1.99,13,"Humanities",2012,65.59,121,3,852.67,243452,10204.8557714286
3.06,32,"Humanities",1961,67.99,120,1,2175.68,235320,10297.4066735148
3.58,7,"Humanities",1973,67.11,120,1,469.77,236760,10347.7798234694
1.54,5,"Humanities",1977,71.41,122,0,357.05,241194,10162.081
2.59,11,"Humanities",1983,68.41,120,0,752.51,237960,10259.9097330952
2.47,8,"Humanities",1975,69.11,120,0,552.88,237000,10248.6454071428
1.99,26,"Humanities",1978,65.64,120,2,1706.64,237360,10200.3742499567
2.39,2,"Humanities",2014,69.02,120,1,138.04,241680,10241.025002381
2.8,34,"Humanities",2008,65.04,120,1,2211.36,240960,10276.796807483
1.81,1,"Humanities",1968,68.12,121,1,68.12,238128,10184.2254214286
1.62,26,"Humanities",2015,66.94,126,1,1740.44,253890,10171.6614576191
2.8,12,"Humanities",1964,69.12,121,0,829.44,237644,10277.7777178571
2.04,19,"Humanities",1971,69.18,124,2,1314.42,244404,10207.9746666667
2.33,1,"Humanities",1964,66.7,120,2,66.7,235680,10242.647
2.04,19,"Humanities",1989,67.31,121,2,1278.89,240669,10205.4703285714
2.04,21,"Humanities",2012,67.96,121,4,1427.16,243452,10207.8632285714
2.98,2,"Humanities",1971,66.13,121,0,132.26,238491,10290.7652516666
3.55,11,"Humanities",1964,67.72,121,2,744.92,237644,10347.1782035715
1.93,20,"Humanities",2015,66.17,125,0,1323.4,251875,10202.6852428571
2.36,33,"Humanities",1982,72.05,122,1,2377.65,241804,10236.8415124676
2.77,12,"Humanities",1972,68.39,122,3,820.68,240584,10278.5900071429
2.56,21,"Humanities",2005,66.72,120,0,1401.12,240600,10255.0258297619
2.3,75,"Humanities",2015,67.74,121,0,5080.5,243815,10228.4923543956
3.04,10,"Humanities",1962,67.63,120,1,676.3,235440,10295.1469591837
2.63,27,"Humanities",1966,67.47,120,2,1821.69,235920,10263.0778285715
2.14,19,"Humanities",2014,68.63,121,0,1303.97,243694,10215.9209929671
2.62,8,"Humanities",1965,69.09,124,0,552.72,243660,10265.3347385714
3.48,11,"Humanities",2000,64.9,120,1,713.9,240000,10342.2787758504
3.21,49,"Humanities",2002,68.26,122,1,3344.74,244244,10313.88965
3.25,2,"Humanities",1971,67.65,121,0,135.3,238491,10321.2051091269
2.43,5,"Humanities",1977,65.64,121,1,328.2,239217,10246.5332642857
2.03,99,"Humanities",2008,61.2,120,0,6058.8,240960,10221.1052785714
1.97,9,"Humanities",1997,68.59,121,5,617.31,241637,10203.5021676871
2.11,7,"Humanities",1965,66.28,123,0,463.96,241695,10212.3558880953
3.05,5,"Humanities",1995,66.73,121,1,333.65,241395,10305.2297690477
1.96,6,"Humanities",1984,66.03,123,0,396.18,244032,10202.2755857143
3.04,36,"Humanities",2002,65.7,123,0,2365.2,246246,10299.5355528571
2.7,5,"Humanities",2002,69.17,126,1,345.85,252252,10268.3846028572
2.64,30,"Humanities",1989,68.92,121,0,2067.6,240669,10263.3000953022
1.94,48,"Humanities",2014,69.07,122,3,3315.36,245708,10196.9822690476
1.92,20,"Humanities",1981,67.13,126,1,1342.6,249606,10195.0335504762
2.67,13,"Humanities",1986,66.67,123,0,866.71,244278,10266.8538785714
1.48,2,"Humanities",1991,69.43,120,1,138.86,238920,10158.5170428572
2.42,10,"Humanities",2002,67.57,123,2,675.7,246246,10239.9807090561
2.13,27,"Humanities",2015,69.31,120,1,1871.37,241800,10219.4912285714
1.77,30,"Humanities",1997,71.39,121,1,2141.7,241637,10180.6979561905
2.96,29,"Humanities",1969,71.9,124,2,2085.1,244156,10290.0629214286
2.61,12,"Humanities",1977,68.27,120,0,819.24,237240,10262.1781902381
1.79,26,"Humanities",2012,65.13,121,2,1693.38,243452,10180.0744071429
2.38,14,"Humanities",1978,68.31,122,1,956.34,241316,10239.7738989011
1.4,11,"Humanities",1961,71.21,122,0,783.31,239242,10156.0463988095
2.54,7,"Humanities",1997,67.7,123,1,473.9,245631,10251.692417619
2.49,5,"Humanities",1966,71.14,121,0,355.7,237886,10249.24845
2.23,23,"Humanities",1984,67.57,122,0,1554.11,242048,10226.2246831818
2.01,5,"Humanities",1997,67.31,124,1,336.55,247628,10203.192707619
2.18,13,"Humanities",1966,67.06,120,1,871.78,235920,10219.0271157143
2.12,13,"Humanities",2006,69.8,120,2,907.4,240720,10214.4693357143
1.89,19,"Humanities",1968,71.12,120,0,1351.28,236160,10195.984673859
2.68,64,"Humanities",2015,70.29,120,1,4498.56,241800,10262.9504428571
2.96,9,"Humanities",2002,69.78,123,3,628.02,246246,10291.6261642858
2.4,14,"Humanities",1990,67.68,122,1,947.52,242780,10241.4079571429
2.61,2,"Humanities",2010,71.17,122,2,142.34,245220,10263.2518071428
2.37,19,"Humanities",1970,66.65,120,0,1266.35,236400,10237.1007461039
2.51,20,"Humanities",2002,69.86,121,1,1397.2,242242,10247.4224515873
2.57,6,"Humanities",1963,68.65,123,0,411.9,241449,10256.9721196429
1.91,77,"Humanities",1995,65.96,120,1,5078.92,239400,10199.0581061905
3.52,15,"Humanities",1977,67.88,123,0,1018.2,243171,10344.000381746
2.93,25,"Humanities",1990,66.77,122,2,1669.25,242780,10289.899314881
2.2,19,"Humanities",1992,66.46,122,0,1262.74,243024,10219.981602415
2.09,37,"Humanities",1980,68.52,126,0,2535.24,249480,10210.8537357143
2.1,11,"Humanities",2013,66.82,120,4,735.02,241560,10216.1071059524
2.95,5,"Humanities",1968,68.78,122,0,343.9,240096,10289.6274742857
2.59,21,"Humanities",1998,70.52,120,3,1480.92,239760,10255.7966121599
3.27,4,"Humanities",1962,68.51,120,0,274.04,235440,10317.1303591837
2.89,9,"Humanities",2008,70.09,122,1,630.81,244976,10288.5005319728
1.63,13,"Humanities",2005,66.56,121,1,865.28,242605,10167.3913804762
2.26,44,"Humanities",1962,66.64,121,1,2932.16,237402,10232.2090771429
2.8,16,"Humanities",1987,68.19,121,0,1091.04,240427,10280.0736376923
2.14,14,"Humanities",2012,67.21,122,0,940.94,245464,10215.6649333333
3.17,24,"Humanities",1991,67.02,122,0,1608.48,242902,10312.2452804762
2.77,6,"Humanities",2002,67.28,120,1,403.68,240240,10275.1459642857
1.92,34,"Humanities",1991,64.08,121,1,2178.72,240911,10198.0932629252
2.24,1,"Humanities",1967,70.21,121,0,70.21,238007,10227.3092614285
2.37,28,"Humanities",1998,64.86,122,0,1816.08,243756,10236.9071806122
2.64,32,"Humanities",1967,71.16,123,0,2277.12,241941,10266.5966357143
3.3,27,"Humanities",2002,69.62,121,0,1879.74,242242,10322.6304265306
2.67,87,"Humanities",1996,67,122,1,5829,243512,10262.0695285715
2.15,7,"Humanities",2002,68.16,120,0,477.12,240240,10221.3262286813
2.33,22,"Humanities",1976,71.47,120,0,1572.34,237120,10235.4925222944
1.94,16,"Humanities",1972,65.34,120,2,1045.44,236640,10201.161585671
2.15,18,"Humanities",1968,68.04,126,1,1224.72,247968,10218.8850628571
2.16,16,"Humanities",1967,66.08,120,1,1057.28,236040,10214.4405714285
2.33,5,"Humanities",2003,70.04,121,0,350.2,242363,10233.4568286813
2.23,0,"Humanities",1990,68.84,121,0,0,240790,10225.944982967
2.93,22,"Humanities",1986,70.37,120,0,1548.14,238320,10288.4268119048
3.1,29,"Humanities",1991,70.23,120,0,2036.67,238920,10304.4747285715
3.03,12,"Humanities",2015,68.04,122,1,816.48,245830,10300.2783510204
2.84,38,"Humanities",1968,66.56,123,0,2529.28,242064,10279.5956642857
2.87,9,"Humanities",1981,68.02,123,0,612.18,243663,10283.2878428571
3.18,9,"Humanities",1970,68.67,121,0,618.03,238370,10314.8027305556
2.41,29,"Humanities",1964,67.7,120,1,1963.3,235680,10241.1884531746
2.67,65,"Humanities",1992,73.34,123,1,4767.1,245016,10262.0372452381
2.84,74,"Humanities",1988,65.55,120,1,4850.7,238560,10277.2331857143
2.08,32,"Humanities",2015,70.27,121,1,2248.64,243815,10214.4236285714
2.67,0,"Humanities",1982,67.43,121,1,0,239822,10269.4742709014
2.33,52,"Humanities",2009,67.09,122,4,3488.68,245098,10233.2413833333
1.95,7,"Humanities",1992,65.95,123,0,461.65,245016,10201.4204719047
2.2,23,"Humanities",2003,73.92,120,1,1700.16,240360,10228.262925
2.05,11,"Humanities",2010,69.87,126,1,768.57,253260,10211.5420219048
2.74,24,"Humanities",2009,68.82,121,0,1651.68,243089,10271.9910703907
2.55,0,"Humanities",1991,70.37,122,1,0,242902,10255.3092814286
2.63,9,"Humanities",1983,65.86,123,5,592.74,243909,10260.1786514286
3.43,5,"Humanities",1964,68.01,120,1,340.05,235680,10331.0884663265
2.78,11,"Humanities",2000,63.43,120,2,697.73,240000,10275.7270199405
3.11,17,"Humanities",1976,67.63,121,0,1149.71,239096,10305.2360734127
1.96,0,"Humanities",2013,68.6,124,0,0,249612,10203.6437357143
2.17,10,"Humanities",1992,67.86,120,1,678.6,239040,10221.5468085714
3.15,30,"Humanities",1978,67.77,122,3,2033.1,241316,10304.7606714286
1.57,1,"Humanities",2000,64.82,122,0,64.82,244000,10169.08431
3.4,42,"Humanities",1999,68.24,122,2,2866.08,243878,10327.4183714286
2.53,33,"Humanities",1968,71.42,125,1,2356.86,246000,10253.2327678571
2.71,0,"Humanities",2004,67.81,121,1,0,242484,10271.7010946429
2.65,4,"Humanities",1995,68.71,123,1,274.84,245385,10266.6163114286
1.46,8,"Humanities",2006,67.94,124,0,543.52,248744,10158.8375928571
2.19,24,"Humanities",2004,69.25,120,1,1662,240480,10224.0239761905
2.71,11,"Humanities",1963,66.52,121,0,731.72,237523,10268.874975
2.93,14,"Humanities",2010,63.88,120,0,894.32,241200,10286.3710928571
3.24,40,"Humanities",1972,68.56,120,0,2742.4,236640,10315.6352055556
2.43,29,"Humanities",2001,66.64,121,2,1932.56,242121,10241.1738080357
2.46,65,"Humanities",1967,69.6,124,2,4524,243908,10243.4912285714
2.04,9,"Humanities",1983,67.06,120,1,603.54,237960,10204.1660818614
2.05,2,"Humanities",2015,68.35,121,0,136.7,243815,10208.5766524908
2.49,4,"Humanities",2010,73.94,122,0,295.76,245220,10251.0988961905
2.9,8,"Humanities",1991,70,130,1,560,258830,10281.4851714286
2.42,51,"Humanities",1966,67.91,127,1,3463.41,249682,10243.2655761905
2.4,38,"Humanities",2010,66.65,122,1,2532.7,245220,10239.6619761905
3.41,9,"Humanities",1994,68.68,121,1,618.12,241274,10335.8545642857
2.28,4,"Humanities",1994,69.5,121,0,278,241274,10226.2365143956
2.34,28,"Humanities",2013,65.13,122,3,1823.64,245586,10232.3692265306
2.6,20,"Humanities",2004,71.16,120,1,1423.2,240480,10255.4645639286
3.08,10,"Humanities",1989,68.92,123,0,689.2,244647,10295.8792785714
2.66,26,"Humanities",1983,67.12,123,1,1745.12,243909,10265.3532207143
2.04,5,"Humanities",2012,69.46,125,0,347.3,251500,10210.1177358242
2.06,1,"Humanities",1974,64.93,124,1,64.93,244776,10207.1146857143
2.38,55,"Humanities",1979,69,121,2,3795,239459,10239.5067428572
1.72,21,"Humanities",1999,68.11,120,3,1430.31,239880,10175.4300357143
2.62,35,"Humanities",1963,65.71,121,0,2299.85,237523,10259.6134071429
2.29,36,"Humanities",1995,68.16,120,1,2453.76,239400,10234.9211
3.77,30,"Humanities",1973,66,125,0,1980,246625,10348.1005642858
1.95,11,"Humanities",2002,66.8,120,0,734.8,240240,10198.0981933333
2.75,34,"Humanities",2007,69.37,120,2,2358.58,240840,10271.0327794643
2.35,1,"Humanities",1991,70.16,120,1,70.16,238920,10236.9983214286
2.76,16,"Humanities",1975,67.43,121,1,1078.88,238975,10277.2944571429
1.74,1,"Humanities",1968,68.13,123,3,68.13,242064,10181.3160928572
2.43,32,"Humanities",1996,67.89,121,2,2172.48,241516,10241.78074375
2.4,8,"Humanities",1963,70.94,121,1,567.52,237523,10242.9301059524
3.22,10,"Humanities",2002,62.92,124,1,629.2,248248,10313.1539452381
2.67,3,"Humanities",1987,66.15,120,1,198.45,238440,10268.6010242177
2.18,20,"Humanities",2009,69.3,122,1,1386,245098,10222.7420107143
2.71,3,"Humanities",1979,70.39,121,1,211.17,239459,10270.0559642858
2.75,2,"Humanities",1962,66.85,121,1,133.7,237402,10275.8567878572
2.47,15,"Humanities",1997,68.24,120,0,1023.6,239640,10244.684042967
2.47,0,"Humanities",1998,66.7,123,3,0,245754,10246.8385628572
1.89,75,"Humanities",2012,71.13,121,1,5334.75,243452,10193.0890933333
2.9,13,"Humanities",1997,64.74,120,0,841.62,239640,10288.507681746
3.19,15,"Humanities",1977,65.25,121,2,978.75,239217,10311.3020761905
2.49,7,"Humanities",1994,64.92,120,0,454.44,239280,10249.2327928571
3.47,59,"Humanities",1972,66.99,123,1,3952.41,242556,10328.0709738095
2.21,35,"Humanities",1990,72.23,121,0,2528.05,240790,10221.9059757143
2.65,43,"Humanities",1999,69.52,121,0,2989.36,241879,10267.4291211597
2.28,75,"Humanities",1995,69.13,123,0,5184.75,245385,10230.3173358242
1.89,1,"Humanities",2010,68.72,123,0,68.72,247230,10195.4538790476
2.26,1,"Humanities",1972,70.32,121,2,70.32,238612,10231.2224614286
2.67,19,"Humanities",1998,67.51,121,1,1282.69,241758,10262.8929153572
1.66,6,"Humanities",2011,69.24,125,0,415.44,251375,10177.5816642857
2.49,17,"Humanities",1970,68.69,120,0,1167.73,236400,10250.7496964286
3,21,"Humanities",1975,68.37,121,2,1435.77,238975,10300.5591857143
2.25,6,"Humanities",1999,71.96,122,0,431.76,243878,10225.9010169171
2.12,9,"Humanities",1999,67.55,126,2,607.95,251874,10213.9207857143
2.5,21,"Humanities",1982,69.11,120,0,1451.31,237840,10248.0142092857
2.6,33,"Humanities",1979,68.93,120,1,2274.69,237480,10259.650044246
2.33,20,"Humanities",1973,65.15,121,0,1303,238733,10235.2555285714
2.74,68,"Humanities",1967,67.99,122,1,4623.32,239974,10269.7058547619
2.43,11,"Humanities",2003,68.53,127,2,753.83,254381,10243.5261580357
2.37,10,"Humanities",1978,70.57,127,3,705.7,251206,10237.9509207143
